FIRST HEALTH MEMORIAL HOSPITAL DATA GOVERNANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
RACI,,,,,,,,,,,,,
,,Roles,,,,,,,,,,,
Task,,Steering Committee,Governance Council,Lead Data Stewards,Business Area Data Stewards,Technical Leads,,,,,,,
Sponsorship and Charter,,R,A,C,C,I,,,,,,,
Data Ownership,,C,R,A,A,I,,,,,,,
Policies and Standards,,C,R,A,A,I,,,,,,,
Business Rules and Guidelines,,I,R,A,A,C,,,,,,,
"Data Quality Issues, Reports, and Metrics",,I,R,A,A,A,,,,,,,
Data Models and Data Dictionaries,,I,A,C,C,R,,,,,,,
Processes and Procedures,,I,R,A,A,C,,,,,,,
,,,,,,,,,,,,,
LEGEND,,,,,,,,,,,,,
R,Responsible,,,,,,,,,,,,
A,Accountable,,,,,,,,,,,,
C,Consulted,,,,,,,,,,,,
I,Informed,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
FIRST HEALTH MEMORIAL HOSPITAL ELECTRONIC HEALTH RECORD PROGRAM,,,,,,,,,,,,,
,,,,,,,,,,,,,
RACI,,,,,,,,,,,,,
,,Roles,,,,,,,,,,,
Task,,Department Chairman,Subspecialty Head,Attending Physician,Training Officer,Admin / Department Secretary,Chief Fellow,Fellow,Chief Resident,Resident,Nursing Staff,IT Department Staff,Social Service Department Staff
Launch and Decide Electronic Health Record (EHR) Program,,A,A,C,C,,,C,,C,C,C,C
Train and Learn how to use HER,,,,R,,,R,R,R,R,R,A,R
Create a new EHR file,,,,I,,,I,C,I,R,R,,
Monitor EHR content of patients under the service,,,,C,,,I,C,I,R,R,,
Approve final EHR contents,,,,A,C,,I,C,I,,I,,
Monitor completion rates of charts,,I,I,A,I,I,,,,,,C,I
Inform doctors of incomplete EHR charts,,,,,,R,,,,,R,I,R
Ensure security of the program,,,,R,,,,R,,R,R,A,
,,,,,,,,,,,,,
LEGEND,,,,,,,,,,,,,
R,Responsible,,,,,,,,,,,,
A,Accountable,,,,,,,,,,,,
C,Consulted,,,,,,,,,,,,
I,Informed,,,,,,,,,,,,
